accession,description
ERZ908755,"Antibiogram for study PRJDB7087, sample SAMD00126449"
ERZ908772,"Antibiogram for study PRJDB7087, sample SAMD00126384"
ERZ908777,"Antibiogram for study PRJDB7087, sample SAMD00126363"
ERZ908802,"Antibiogram for study PRJDB7087, sample SAMD00126442"
ERZ908807,"Antibiogram for study PRJDB7087, sample SAMD00126374"
ERZ908817,"Antibiogram for study PRJDB7087, sample SAMD00126519"
ERZ908818,"Antibiogram for study PRJDB7087, sample SAMD00126385"
ERZ908823,"Antibiogram for study PRJDB7087, sample SAMD00126595"
ERZ908830,"Antibiogram for study PRJDB7087, sample SAMD00126589"
ERZ908831,"Antibiogram for study PRJDB7087, sample SAMD00126525"
ERZ908849,"Antibiogram for study PRJDB7087, sample SAMD00126509"
ERZ908871,"Antibiogram for study PRJDB7087, sample SAMD00126603"
ERZ908889,"Antibiogram for study PRJDB7087, sample SAMD00126483"
ERZ908891,"Antibiogram for study PRJDB7087, sample SAMD00126543"
ERZ908895,"Antibiogram for study PRJDB7087, sample SAMD00126390"
ERZ794744,"Antibiogram for study PRJEB21997, sample SAMEA104188723"
ERZ794779,"Antibiogram for study PRJEB21997, sample SAMEA104188754"
ERZ794785,"Antibiogram for study PRJEB21997, sample SAMEA104188753"
ERZ794787,"Antibiogram for study PRJEB21997, sample SAMEA104188762"
ERZ794806,"Antibiogram for study PRJEB21997, sample SAMEA104188750"
ERZ794816,"Antibiogram for study PRJEB21997, sample SAMEA104188772"
ERZ794818,"Antibiogram for study PRJEB21997, sample SAMEA104188731"
ERZ794839,"Antibiogram for study PRJEB21997, sample SAMEA104188760"
ERZ794845,"Antibiogram for study PRJEB21997, sample SAMEA104188684"
ERZ794859,"Antibiogram for study PRJEB14873, sample SAMEA4350789"
ERZ794860,"Antibiogram for study PRJEB14873, sample SAMEA4350772"
ERZ794861,"Antibiogram for study PRJEB14873, sample SAMEA4350781"
ERZ794862,"Antibiogram for study PRJEB14873, sample SAMEA4350773"
ERZ795316,"Antibiogram for study PRJEB25629, sample SAMEA104712327"
ERZ908649,"Antibiogram for study PRJDB7087, sample SAMD00126478"
ERZ908677,"Antibiogram for study PRJDB7087, sample SAMD00126561"
ERZ908716,"Antibiogram for study PRJDB7087, sample SAMD00126424"
ERZ908736,"Antibiogram for study PRJDB7087, sample SAMD00126407"
ERZ908800,"Antibiogram for study PRJDB7087, sample SAMD00126497"
ERZ908821,"Antibiogram for study PRJDB7087, sample SAMD00126366"
ERZ908837,"Antibiogram for study PRJDB7087, sample SAMD00126502"
ERZ908851,"Antibiogram for study PRJDB7087, sample SAMD00126495"
ERZ908862,"Antibiogram for study PRJDB7087, sample SAMD00126515"
ERZ794746,"Antibiogram for study PRJEB21997, sample SAMEA104188732"
ERZ794773,"Antibiogram for study PRJEB21997, sample SAMEA104188718"
ERZ794775,"Antibiogram for study PRJEB21997, sample SAMEA104188705"
ERZ794800,"Antibiogram for study PRJEB21997, sample SAMEA104188774"
ERZ794803,"Antibiogram for study PRJEB21997, sample SAMEA104188717"
ERZ794810,"Antibiogram for study PRJEB21997, sample SAMEA104188780"
ERZ794813,"Antibiogram for study PRJEB21997, sample SAMEA104188724"
ERZ794841,"Antibiogram for study PRJEB21997, sample SAMEA104188706"
ERZ794856,"Antibiogram for study PRJEB14873, sample SAMEA4350774"
ERZ794865,"Antibiogram for study PRJEB14873, sample SAMEA4350787"
ERZ794869,"Antibiogram for study PRJEB14873, sample SAMEA4350786"
ERZ794741,"Antibiogram for study PRJEB21997, sample SAMEA104188747"
ERZ794743,"Antibiogram for study PRJEB21997, sample SAMEA104188738"
ERZ794789,"Antibiogram for study PRJEB21997, sample SAMEA104188714"
ERZ794797,"Antibiogram for study PRJEB21997, sample SAMEA104188683"
ERZ794823,"Antibiogram for study PRJEB21997, sample SAMEA104188761"
ERZ794824,"Antibiogram for study PRJEB21997, sample SAMEA104188692"
ERZ794831,"Antibiogram for study PRJEB21997, sample SAMEA104188769"
ERZ794740,"Antibiogram for study PRJEB21997, sample SAMEA104188755"
ERZ794749,"Antibiogram for study PRJEB21997, sample SAMEA104188693"
ERZ794762,"Antibiogram for study PRJEB21997, sample SAMEA104188716"
ERZ794764,"Antibiogram for study PRJEB21997, sample SAMEA104188690"
ERZ794769,"Antibiogram for study PRJEB21997, sample SAMEA104188786"
ERZ794793,"Antibiogram for study PRJEB21997, sample SAMEA104188751"
ERZ794798,"Antibiogram for study PRJEB21997, sample SAMEA104188773"
ERZ794817,"Antibiogram for study PRJEB21997, sample SAMEA104188713"
ERZ794822,"Antibiogram for study PRJEB21997, sample SAMEA104188752"
ERZ794829,"Antibiogram for study PRJEB21997, sample SAMEA104188700"
ERZ794870,"Antibiogram for study PRJEB14873, sample SAMEA4350778"
ERZ908672,"Antibiogram for study PRJDB7087, sample SAMD00126423"
ERZ908702,"Antibiogram for study PRJDB7087, sample SAMD00126507"
ERZ908708,"Antibiogram for study PRJDB7087, sample SAMD00126443"
ERZ908717,"Antibiogram for study PRJDB7087, sample SAMD00126520"
ERZ908769,"Antibiogram for study PRJDB7087, sample SAMD00126585"
ERZ908771,"Antibiogram for study PRJDB7087, sample SAMD00126480"
ERZ908787,"Antibiogram for study PRJDB7087, sample SAMD00126535"
ERZ908816,"Antibiogram for study PRJDB7087, sample SAMD00126360"
ERZ908828,"Antibiogram for study PRJDB7087, sample SAMD00126399"
ERZ908840,"Antibiogram for study PRJDB7087, sample SAMD00126403"
ERZ908845,"Antibiogram for study PRJDB7087, sample SAMD00126395"
ERZ794755,"Antibiogram for study PRJEB21997, sample SAMEA104188685"
ERZ794795,"Antibiogram for study PRJEB21997, sample SAMEA104188720"
