BioSample,Run,Imipenem,Meropenem,Doripenem,OXA-23 (ARO:3001418),QacEdelta1 (ARO:3005010),Sul1 (ARO:3000410),mphE (ARO:3003741),msrE (ARO:3003109),ANT(3'')-II (ARO:3002601),aacC1 (ARO:3002528),YafP (UniProtKB:Q47158),AphA6 (ARO:3002652),xerD (UniProtKB:D0CB56)
SAMN02614542,SRR1151909,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614543,SRR1151914,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614544,SRR1151915,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614545,SRR1151920,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614546,SRR1151937,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614547,SRR1151942,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614548,SRR1151951;SRR1151952,15 (R),11 (R),11 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02614549,SRR1151953,6 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614550,SRR1151962,15 (R),11 (R),11 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02614551,SRR1151970;SRR1151971,15 (R),11 (R),11 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02614552,SRR1151972,15 (R),11 (R),11 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02614553,SRR1151981,15 (R),11 (R),11 (R),NO,YES,YES,NO,NO,YES,YES,YES,NO,YES
SAMN02614554,SRR1151987,7 (R),7 (R),7 (R),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614555,SRR1151996,7 (R),7 (R),7 (R),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614556,SRR1152001,7 (R),7 (R),7 (R),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02614557,SRR1152002,7 (R),7 (R),7 (R),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
SAMN02644664,SRR1171085,10 (R),NA (NA),NA (NA),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
