sample_accession,run_accession
SAMN05366801,SRR3774324
SAMN05366802,SRR3774215
SAMN05366804,SRR3774344
SAMN05366806,SRR3774322
SAMN05366809,SRR3774251
SAMN05366810,SRR3771472
SAMN05366813,SRR3774374
SAMN05366814,SRR3774323
SAMN05366815,SRR3774325
SAMN05413484,SRR3928601
SAMN05413488,SRR3928608
SAMN05413489,SRR3928612
SAMN05413490,SRR3928674
SAMN05413491,SRR3928610
SAMN05413492,SRR3928599
SAMN05413493,SRR3928684
SAMN05413494,SRR3928602
SAMN05413497,SRR3928616
SAMN05413498,SRR3928603
SAMN05413499,SRR3928681
SAMN05413501,SRR3928614
SAMN05413503,SRR3928619
SAMN05413505,SRR3928679
SAMN05413506,SRR3928604
SAMN05413507,SRR3928600
SAMN05413509,SRR3928605
SAMN05413512,SRR3928611
SAMN05413513,SRR3928620
SAMN05413514,SRR3928606
SAMN05440711,SRR3995455
SAMN05440713,SRR3995456
SAMN05440714,SRR3995457
SAMN05440717,SRR3953105
SAMN05440720,SRR3953110
SAMN05440721,SRR3953096
SAMN05440722,SRR3953098
SAMN05440723,SRR3953090
SAMN05379559,SRR3925096
SAMN05379560,SRR3925104
SAMN05440724,SRR3953113
SAMN05440727,SRR3953114
SAMN05440733,SRR3953115
SAMN05440734,SRR3953095
SAMN05440736,SRR3953116
SAMN05440739,SRR3953117
SAMN05558620,SRR4018323
SAMN05440740,SRR3953109
SAMN05505575,SRR3995955
SAMN05505578,SRR3995977
SAMN05505579,SRR3995974
SAMN05505580,SRR3995980
SAMN05505581,SRR3995962
SAMN05505582,SRR3995971
SAMN05505584,SRR3995984
SAMN05505586,SRR3995976
SAMN05505588,SRR3995982
SAMN05505589,SRR3995959
SAMN05505590,SRR3995966
SAMN05505591,SRR3995975
SAMN05505592,SRR3995981
SAMN05505593,SRR3995968
SAMN05505594,SRR3995963
SAMN05505597,SRR3995969
SAMN05505599,SRR3995964
SAMN05505600,SRR3995983
SAMN05505601,SRR3995973
SAMN05505602,SRR3995979
SAMN05505603,SRR3995960
SAMN05505604,SRR3995967
SAMN05505605,SRR3995965
SAMN05505606,SRR3995970
SAMN05514401,SRR4005443
SAMN05558621,SRR4018128
SAMN05558622,SRR4018330
SAMN05558623,SRR4018358
SAMN05558624,SRR4018129
SAMN05558625,SRR4018336
SAMN05558626,SRR4018136
SAMN05558627,SRR4018337
SAMN05558628,SRR4018331
SAMN05558630,SRR4018137
SAMN05558631,SRR4018338
SAMN05558632,SRR4018133
SAMN05558635,SRR4018126
SAMN05558637,SRR4018124
SAMN05558638,SRR4018333
SAMN05558639,SRR4018125
SAMN05558641,SRR4018335
SAMN05558642,SRR4018127
SAMN05558644,SRR4018341
SAMN11959369,SRR9207844
SAMN11959366,SRR9207841
SAMEA2053898,ERR311469
SAMEA2053791,ERR314399
SAMEA2054921,ERR314461
SAMN02581393,SRR1203969
SAMN02581393,SRR1204011
SAMN02581393,SRR1196694
SAMN02581393,SRR1197686
SAMN02581394,SRR1196967
SAMN02581394,SRR1203949
SAMN02581394,SRR1206027
SAMN02581394,SRR1196853
SAMN02581250,SRR1187845
SAMN02581250,SRR10197436
SAMN02581250,SRR1187744
SAMN02581250,SRR1180884
SAMN02581250,SRR1180986
SAMN02581251,SRR1187701
SAMN02581251,SRR1187736
SAMN02581251,SRR1180739
SAMN02581251,SRR1181052
SAMN02356595,SRR1010855
SAMN02356595,SRR1010856
SAMN02356595,SRR999449
SAMN02356595,SRR999450
SAMN02356596,SRR999451
SAMN02356596,SRR999452
SAMN02356596,SRR1010857
SAMN02356596,SRR1010858
SAMN02356607,SRR999454
SAMN02356607,SRR1010860
SAMN02356607,SRR1010859
SAMN02356607,SRR999453
SAMN02356608,SRR1010861
SAMN02356608,SRR1010862
SAMN02356608,SRR999455
SAMN02356608,SRR999456
SAMN02356625,SRR1010864
SAMN02356625,SRR999457
SAMN02356625,SRR999458
SAMN02356625,SRR1010863
SAMN02356626,SRR999459
SAMN02356626,SRR999460
SAMN02356626,SRR1010865
SAMN02356626,SRR1010866
SAMN02356627,SRR999461
SAMN02356627,SRR999462
SAMN02356627,SRR1010867
SAMN02356627,SRR1010868
SAMN02356628,SRR1010870
SAMN02356628,SRR999463
SAMN02356628,SRR1010869
SAMN02356628,SRR999464
SAMN03283312,SRR1820699
SAMN03283311,SRR1820700
SAMN03283308,SRR1820704
SAMN03283620,SRR1820183
SAMN03283616,SRR1820713
SAMN03283613,SRR1820714
SAMN03283614,SRR1818025
SAMN03283688,SRR1817414
SAMN03283649,SRR1817638
SAMN03283642,SRR1817646
SAMN04431018,SRR3110252
SAMN04431019,SRR3110253
SAMN04430995,SRR3110110
SAMN04252901,SRR2960071
SAMEA2273401,ERR474356
SAMEA2273454,ERR486224
SAMEA2273465,ERR486235
SAMN04122811,SRR2544783
SAMN03283306,SRR1820162
SAMN06007772,SRR5120213
SAMN03283315,SRR1820170
SAMN03283637,SRR1818034
SAMN03283661,SRR1817398
SAMN03283672,SRR1817400
SAMN03283680,SRR1817401
SAMN03283650,SRR1818051
SAMN03067419,SRR1740475
SAMN03067419,SRR1740489
SAMN03067419,SRR1740490
SAMN06754740,SRR5445914
SAMN06680410,SRR5420061
SAMN03283659,SRR1817637
SAMN03283645,SRR1818079
SAMN03283668,SRR1818075
SAMN03283679,SRR1817645
SAMN06124923,SRR5093710
SAMN05170333,SRR4065672
SAMN04430996,SRR3110111
SAMN04252892,SRR2960060
SAMN04252909,SRR2960079
SAMN04252929,SRR2960112
SAMN04252942,SRR2960138
SAMEA2054755,ERR311482
SAMEA2054756,ERR311485
SAMEA2053716,ERR311486
SAMEA1972921,ERR311487
SAMEA2054757,ERR311488
SAMEA2053717,ERR311489
SAMEA2053904,ERR311490
SAMEA2054758,ERR311491
SAMEA2053718,ERR311492
SAMEA2053905,ERR311493
SAMEA2054759,ERR311494
SAMEA2053719,ERR311495
SAMEA1964557,ERR311496
SAMEA2054760,ERR311497
SAMEA2053720,ERR311498
SAMEA2053906,ERR311499
SAMEA2054761,ERR311500
SAMEA2053721,ERR311501
SAMEA2053907,ERR311502
SAMEA2054762,ERR311503
SAMEA2053722,ERR311504
SAMEA2053908,ERR311505
SAMEA1966964,ERR311506
SAMEA2053723,ERR311507
